"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"107","collision",2019-01-09,2020-06-01 08:00:00,"kolpino",2,3,0,3,"part_closed",30.702968,59.773532,"local","snow","clouds"
"108","collision",2019-01-09,2020-06-01 08:30:00,"primorsk",2,2,0,1,"part_closed",30.240222,60.033202,"local","unknown","clouds"
"109","pedestrian_hit",2019-01-09,2020-06-01 08:40:00,"kalin",1,2,0,1,"open",30.431539,60.002596,"not_specified","snow","clear"
"110","pedestrian_hit",2019-01-09,2020-06-01 08:40:00,"center",1,2,0,1,"part_closed",30.353143,59.938875,"local","snow","clouds"
"111","pedestrian_hit",2019-01-09,2020-06-01 09:00:00,"vyborg",1,2,0,1,"part_closed",30.318811,60.049964,"not_specified","snow","clouds"
"112","pedestrian_hit",2019-01-09,2020-06-01 09:30:00,"pushkin",1,2,0,1,"part_closed",30.426056,59.786794,"local","wet","snow"
"113","passenger_fall",2019-01-09,2020-06-01 11:15:00,"pushkin",1,2,0,1,"part_closed",30.373796,59.806624,"local","wet","snow"
"114","collision",2019-01-09,2020-06-01 13:15:00,"center",3,2,1,0,"part_closed",30.399277,59.951357,"local","unknown","clouds"
"115","collision",2019-01-09,2020-06-01 14:50:00,"kalin",2,3,0,1,"part_closed",30.404931,60.020159,"local","snow","clear"
"116","collision",2019-01-09,2020-06-01 15:25:00,"mosk",2,2,0,1,"part_closed",30.316815,59.790919,"local","dirty","clear"
"117","collision",2019-01-09,2020-06-01 16:00:00,"krasnosel",2,2,0,1,"part_closed",30.18307,59.865203,"local","snow","clouds"
"118","other",2019-01-09,2020-06-01 18:15:00,"nevski",1,2,0,1,"part_closed",30.475634,59.859735,"local","snow","snow"
"119","collision",2019-01-09,2020-06-01 18:20:00,"vasil",2,3,0,1,"part_closed",30.261079,59.948719,"local","snow","snow"
"120","collision",2019-01-09,2020-06-01 18:30:00,"primorsk",2,3,0,1,"open",30.29333,60.015285,"local","snow","snow"
"121","pedestrian_hit",2019-01-09,2020-06-01 19:00:00,"krasnogvard",1,2,0,1,"part_closed",30.435519,59.933549,"local","unknown","clouds"
"122","pedestrian_hit",2019-01-09,2020-06-01 19:08:00,"kalin",1,3,0,2,"open",30.411422,59.985406,"local","unknown","unknown"
"123","pedestrian_hit",2019-01-09,2020-06-01 19:20:00,"kalin",1,3,0,2,"part_closed",30.373732,59.95782,"local","snow","clouds"
"124","pedestrian_hit",2019-01-09,2020-06-01 20:00:00,"mosk",1,2,0,1,"part_closed",30.294049,59.858081,"local","snow","clouds"
"125","obstacle_hit",2019-01-09,2020-06-01 20:00:00,"primorsk",1,2,0,1,"part_closed",29.986893,60.03201,"local","snow","clouds"
"126","obstacle_hit",2019-01-09,2020-06-01 21:10:00,"petrodvorts",1,2,0,1,"part_closed",30.09387,59.853609,"local","snow","snow"
"127","collision",2019-01-09,2020-06-01 21:50:00,"kolpino",2,3,0,2,"part_closed",30.703611,59.773424,"local","wet","clouds"
"128","collision",2019-01-09,2020-06-01 22:45:00,"nevski",2,3,0,1,"open",30.482394,59.907211,"local","unknown","clouds"
"129","collision",2019-01-10,2020-06-01 00:25:00,"kolpino",2,3,0,1,"part_closed",30.70359,59.773445,"local","wet","clouds"
"130","collision",2019-01-10,2020-06-01 06:45:00,"mosk",3,4,0,1,"part_closed",30.313425,59.875758,"local","snow","clear"
"131","collision",2019-01-10,2020-06-01 07:50:00,"petrodvorts",2,3,0,2,"part_closed",30.053809,59.835252,"local","sleet","clear"
"132","pedestrian_hit",2019-01-10,2020-06-01 08:35:00,"primorsk",1,2,0,1,"open",30.243119,60.030692,"local","snow","clouds"
